Rank,Release Group,Worldwide,Domestic,%,Foreign,%
72,Jawan,"$27,770,053","$14,735,611",53.1%,"$13,034,442",46.9%
73,Renfield,"$26,348,651","$17,152,625",65.1%,"$9,196,026",34.9%
74,The Challenge,"$22,100,836",-,-,"$22,100,836",100%
75,Don't Call it Mystery: The Movie,"$22,073,414",-,-,"$22,073,414",100%
76,The Last Voyage of the Demeter,"$21,694,915","$13,637,180",62.9%,"$8,057,735",37.1%
77,The Covenant,"$21,632,392","$16,938,039",78.3%,"$4,694,353",21.7%
78,"Are You There God? It's Me, Margaret.","$21,464,043","$20,372,406",94.9%,"$1,091,637",5.1%
79,The House of No Man,"$19,490,980",-,-,"$19,490,980",100%
80,My Happy Marriage,"$19,439,523",-,-,"$19,439,523",100%
81,Champions,"$18,906,455","$16,271,910",86.1%,"$2,634,545",13.9%
82,IDOLiSH7 Movie: LIVE 4bit - BEYOND THE PERiOD,"$18,376,869",-,-,"$18,376,869",100%
83,The Blackening,"$18,169,453","$17,707,207",97.5%,"$462,246",2.5%
84,About My Father,"$18,167,819","$12,089,391",66.5%,"$6,078,428",33.5%
85,Tokyo Revengers 2: Bloody Halloween - Destiny,"$17,216,567",-,-,"$17,216,567",100%
86,Shin Jigen! Crayon Shin-chan the Movie,"$16,926,552",-,-,"$16,926,552",100%
87,Mavka: The Forest Song,"$16,923,260",-,-,"$16,923,260",100%
88,Retribution,"$16,206,768","$6,930,170",42.8%,"$9,276,598",57.2%
89,The Legend & Butterfly,"$16,087,771",-,-,"$16,087,771",100%
90,Die drei ??? - Erbe des Drachen,"$15,860,016",-,-,"$15,860,016",100%
91,Shin Kamen Rider,"$15,787,771",-,-,"$15,787,771",100%
92,Joy Ride,"$15,782,536","$12,897,789",81.7%,"$2,884,747",18.3%
93,Past Lives,"$14,996,172","$10,923,569",72.8%,"$4,072,603",27.2%
94,A Guilty Conscience,"$14,914,575",-,-,"$14,914,575",100%
95,Tokyo Revengers 2: Bloody Halloween - Decisive Battle,"$14,584,970",-,-,"$14,584,970",100%
96,Rehragout Rendezvous,"$14,127,069",-,-,"$14,127,069",100%
97,Sisu,"$14,090,350","$7,265,622",51.6%,"$6,824,728",48.4%
98,Dumb Money,"$13,543,801","$11,500,366",84.9%,"$2,043,435",15.1%
99,Epic Tails,"$13,477,074",-,-,"$13,477,074",100%
100,The Point Men,"$13,433,834",-,-,"$13,433,834",100%
101,"Manta, Manta - Zwoter Teil","$13,076,716",-,-,"$13,076,716",100%
102,Love Again,"$12,696,584","$6,230,837",49.1%,"$6,465,747",50.9%
103,Jeanne du Barry,"$12,618,343",-,-,"$12,618,343",100%
104,Dr. Cheon and Lost Talisman,"$12,497,077","$27,755",0.2%,"$12,469,322",99.8%
105,His Only Son,"$12,469,959","$12,084,084",96.9%,"$385,875",3.1%
106,Hypnotic,"$12,328,503","$4,500,169",36.5%,"$7,828,334",63.5%
107,Bottoms,"$11,932,368","$11,932,368",100%,-,-
108,Championext,"$11,746,913",-,-,"$11,746,913",100%
